etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
2013-11-26,N018      ,2006-02-01,台南第六信用合作社,0,0,0,0,0,0,0,0,0,0
2013-11-26,812       ,2006-02-01,台新國際商業銀行,89959,182954000000,253,61000000,73736,22826000000,0,0,646994,119091000000
2013-11-26,N009      ,2006-02-01,合作金庫銀行,167612,274495000000,55567,74747000000,36,6000000,123148,46099000000,24888,10157000000
2013-11-26,N016      ,2006-02-01,嘉義巿第四信用合作社,89,289000000,8,4000000,0,0,0,0,0,0
2013-11-26,178       ,2006-02-01,嘉義市第三信用合作社,927,1262000000,737,1807000000,0,0,0,0,902,466000000
2013-11-26,013       ,2006-02-01,國泰世華商業銀行,135194,242659000000,7144,10417000000,40249,3657000000,0,0,342143,30707000000
2013-11-26,114       ,2006-02-01,基隆市第一信用合作社,5334,7476000000,1178,867000000,0,0,0,0,5260,2675000000
2013-11-26,115       ,2006-02-01,基隆市第二信用合作社,1552,3763000000,331,455000000,164,45000000,0,0,2254,502000000
2013-11-26,814       ,2006-02-01,大眾商業銀行,23448,57220000000,364,363000000,0,0,0,0,293342,22522000000
2013-11-26,816       ,2006-02-01,安泰商業銀行,21360,46792000000,9460,19857000000,16171,4621000000,367,44000000,65285,30663000000
2013-11-26,N017      ,2006-02-01,宜蘭信用合社,707,1156000000,303,385000000,0,0,0,0,456,40000000
2013-11-26,-01       ,2006-02-01,寶華商業銀行,14855,19004000000,14344,16793000000,12203,3494000000,8,9000000,109027,11278000000
2013-11-26,807       ,2006-02-01,建華商業銀行,79559,166099000000,15480,21123000000,9687,3902000000,0,0,25787,13793000000
2013-11-26,009       ,2006-02-01,彰化商業銀行,67000,123317000000,39406,72196000000,0,0,1587,583000000,18821,9293000000
2013-11-26,158       ,2006-02-01,彰化第一信用合作社,1017,1728000000,233,240000000,0,0,0,0,7,2000000
