etl_dt,bank_code,data_dt,bank_nm,cc_f_card_cnt,cc_open_card_cnt,cc_issue_card_cnt,cc_stop_card_cnt,cyc_bal,cc_txn_bal,cc_ln_bal,cc_payment_rate,cc_baddebit_rate,cc_baddebit_bal,cyc_income,txn_fee,cc_ln_fee,auth_store_cnt
2013-11-26 22:33:20.588584,816       ,2013-02-01 00:00:00,安泰商業銀行,241192,73752,3712,1293,729000000.0,434000000.0,2000000.0,0.4,205.78,0.0,7000000.0,6000000.0,0.0,115
2013-11-26 22:33:20.533621,822       ,2013-02-01 00:00:00,中國信託商業銀行,5395868,3709770,30083,24859,16572000000.0,24509000000.0,447000000.0,0.23,830.57,65000000.0,159000000.0,304000000.0,33000000.0,59221
2013-11-26 22:33:20.551994,N009      ,2013-02-01 00:00:00,合作金庫銀行,432907,228784,2482,4113,736000000.0,1438000000.0,4000000.0,0.76,281.93,0.0,7000000.0,21000000.0,0.0,25139
2013-11-26 22:33:20.555996,N030      ,2013-02-01 00:00:00,小計,34176937,21703262,261800,212030,127298000000,135942000000,1456000000.0,0.97,14051.33,341000000.0,1543000000.0,1853000000.0,68000000.0,0
2013-11-26 22:33:20.505532,N032      ,2013-02-01 00:00:00,財團法人聯合信用卡處理中心,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84234
2013-11-26 22:33:20.572505,N039      ,2013-02-01 00:00:00,香港商台灣環匯亞太信用卡,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9094
2013-11-26 22:33:20.549535,N040      ,2013-02-01 00:00:00,台灣美國運通國際(股)公司,150558,84740,2501,1419,340000000.0,2925000000.0,0.0,0.18,1045.64,2000000.0,3000000.0,80000000.0,0.0,73680
2013-11-26 22:33:20.561103,N041      ,2013-02-01 00:00:00,台灣永旺信用卡(股)公司,125086,91448,3573,675,694000000.0,365000000.0,4000000.0,0.15,176.94,1000000.0,10000000.0,5000000.0,0.0,500
2013-11-26 22:33:20.565413,N042      ,2013-02-01 00:00:00,台灣大來國際信用卡(股)公司,31398,13557,2,229,41000000.0,66000000.0,1000000.0,1.99,670.96,0.0,1000000.0,0.0,0.0,3768
2013-11-26 22:33:20.60316,0         ,2013-03-01 00:00:00,總計,34328864,21746648,412084,264117,125239000000,139450000000,2055000000.0,0.33,797.59,509000000.0,1563000000.0,1966000000.0,76000000.0,0
2013-11-26 22:33:20.665621,004       ,2013-03-01 00:00:00,臺灣銀行,219033,110420,801,1623,288000000.0,606000000.0,2000000.0,0.58,194.05,1000000.0,3000000.0,12000000.0,0.0,750
2013-11-26 22:33:20.656155,005       ,2013-03-01 00:00:00,臺灣土地銀行,121457,52353,516,362,257000000.0,308000000.0,1000000.0,1.01,836.67,2000000.0,3000000.0,5000000.0,0.0,2630
2013-11-26 22:33:20.619164,007       ,2013-03-01 00:00:00,第一商業銀行,641476,442310,9350,6585,1255000000.0,2882000000.0,15000000.0,0.23,1753.45,5000000.0,17000000.0,41000000.0,0.0,95
2013-11-26 22:33:20.642767,008       ,2013-03-01 00:00:00,華南商業銀行,576520,357666,10278,5396,610000000.0,1808000000.0,1000000.0,0.09,426.0,8000000.0,9000000.0,35000000.0,0.0,4560
2013-11-26 22:33:20.625414,009       ,2013-03-01 00:00:00,彰化商業銀行,293535,180676,7529,4178,128000000.0,768000000.0,1000000.0,0.17,637.69,1000000.0,2000000.0,11000000.0,0.0,261
2013-11-26 22:33:20.63263,011       ,2013-03-01 00:00:00,上海商業儲蓄銀行,421157,222545,1918,2499,897000000.0,1270000000.0,8000000.0,0.81,1080.85,0.0,12000000.0,21000000.0,0.0,0
2013-11-26 22:33:20.613551,012       ,2013-03-01 00:00:00,台北富邦銀行,2162668,1463516,28401,16912,7371000000.0,9973000000.0,78000000.0,0.25,1141.22,27000000.0,89000000.0,150000000.0,3000000.0,344
2013-11-26 22:33:20.69745,013       ,2013-03-01 00:00:00,國泰世華商業銀行,3473099,2397339,40705,25002,14323000000.0,16513000000.0,246000000.0,0.17,1859.67,25000000.0,161000000.0,179000000.0,4000000.0,8182
2013-11-26 22:33:20.690511,016       ,2013-03-01 00:00:00,高雄銀行,6876,3475,21,32,6000000.0,145000000.0,0.0,0.09,1042.95,0.0,0.0,0.0,0.0,1140
2013-11-26 22:33:20.675209,017       ,2013-03-01 00:00:00,兆豐國際商業銀行,497800,329255,6667,4020,1491000000.0,2175000000.0,9000000.0,0.28,825.41,5000000.0,22000000.0,32000000.0,0.0,262
2013-11-26 22:33:20.630309,021       ,2013-03-01 00:00:00,花旗(台灣)商業銀行,2673247,2305396,25277,22773,18176000000.0,17078000000.0,162000000.0,0.55,1530.28,155000000.0,254000000.0,216000000.0,6000000.0,28199
2013-11-26 22:33:20.608689,050       ,2013-03-01 00:00:00,臺灣中小企業銀行,319521,140748,1616,1785,681000000.0,824000000.0,5000000.0,0.26,783.27,2000000.0,9000000.0,12000000.0,0.0,5
2013-11-26 22:33:20.686164,052       ,2013-03-01 00:00:00,渣打國際商業銀行,342573,233041,9823,4653,2821000000.0,1504000000.0,16000000.0,0.78,369.28,24000000.0,37000000.0,22000000.0,1000000.0,0
2013-11-26 22:33:20.679478,053       ,2013-03-01 00:00:00,台中商業銀行,128698,51928,1931,482,186000000.0,329000000.0,0.0,0.6,1204.76,9000000.0,3000000.0,5000000.0,0.0,0
2013-11-26 22:33:20.640055,081       ,2013-03-01 00:00:00,匯豐(台灣)商業銀行,754829,484794,7527,6465,4199000000.0,4081000000.0,58000000.0,0.39,1398.04,11000000.0,60000000.0,56000000.0,1000000.0,6
2013-11-26 22:33:20.695379,096       ,2013-03-01 00:00:00,澳商澳盛銀行,753990,393702,7837,2459,4761000000.0,2934000000.0,8000000.0,0.45,12339.31,16000000.0,59000000.0,42000000.0,0.0,682
2013-11-26 22:33:20.647533,102       ,2013-03-01 00:00:00,華泰商業銀行,11728,7306,29,15,22000000.0,62000000.0,0.0,0.51,153.2,0.0,0.0,1000000.0,0.0,0
2013-11-26 22:33:20.651868,103       ,2013-03-01 00:00:00,臺灣新光商業銀行,879671,423976,38419,7101,2820000000.0,3041000000.0,35000000.0,0.27,426.11,9000000.0,32000000.0,67000000.0,0.0,1992
2013-11-26 22:33:20.616686,108       ,2013-03-01 00:00:00,陽信商業銀行,56725,31925,2000,462,363000000.0,188000000.0,1000000.0,0.68,1481.94,0.0,3000000.0,2000000.0,0.0,0
2013-11-26 22:33:20.670579,147       ,2013-03-01 00:00:00,三信商業銀行,15361,10616,448,131,46000000.0,103000000.0,0.0,0.45,2136.27,0.0,0.0,1000000.0,0.0,0
2013-11-26 22:33:20.68201,803       ,2013-03-01 00:00:00,聯邦商業銀行,1872946,796353,10593,14937,5807000000.0,3536000000.0,117000000.0,0.39,123.42,18000000.0,55000000.0,54000000.0,1000000.0,3183
2013-11-26 22:33:20.649571,805       ,2013-03-01 00:00:00,遠東國際商業銀行,1416837,902626,9151,19631,6645000000.0,4277000000.0,192000000.0,0.41,102.59,17000000.0,83000000.0,44000000.0,1000000.0,0
2013-11-26 22:33:20.637825,806       ,2013-03-01 00:00:00,元大商業銀行,251632,90623,336,2786,617000000.0,770000000.0,2000000.0,0.38,1097.2,2000000.0,5000000.0,13000000.0,0.0,13
2013-11-26 22:33:20.654072,807       ,2013-03-01 00:00:00,永豐商業銀行,2233100,1301066,16743,16195,5778000000.0,7014000000.0,119000000.0,0.49,764.65,14000000.0,73000000.0,96000000.0,6000000.0,1879
2013-11-26 22:33:20.693335,808       ,2013-03-01 00:00:00,玉山商業銀行,3211474,2172487,32398,14430,12030000000.0,13710000000.0,161000000.0,0.24,2357.19,34000000.0,189000000.0,196000000.0,4000000.0,3638
2013-11-26 22:33:20.627936,809       ,2013-03-01 00:00:00,萬泰商業銀行,530771,216076,7048,5677,1502000000.0,744000000.0,14000000.0,1.11,213.81,7000000.0,21000000.0,8000000.0,1000000.0,27
2013-11-26 22:33:20.68829,810       ,2013-03-01 00:00:00,星展(台灣)商業銀行,10400,5822,335,196,19000000.0,50000000.0,0.0,0.66,192.58,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:20.622289,812       ,2013-03-01 00:00:00,台新國際商業銀行,3249553,2042117,75020,24147,11326000000.0,11553000000.0,71000000.0,0.3,594.26,22000000.0,117000000.0,177000000.0,7000000.0,59457
2013-11-26 22:33:20.659029,814       ,2013-03-01 00:00:00,大眾商業銀行,585314,266934,3342,5634,1417000000.0,1423000000.0,78000000.0,0.01,422.58,15000000.0,27000000.0,23000000.0,1000000.0,85
2013-11-26 22:33:20.634869,815       ,2013-03-01 00:00:00,日盛國際商業銀行,228362,110928,576,3914,693000000.0,419000000.0,10000000.0,0.4,505.34,4000000.0,8000000.0,6000000.0,0.0,0
2013-11-26 22:33:20.699478,816       ,2013-03-01 00:00:00,安泰商業銀行,236605,72942,1864,6235,718000000.0,420000000.0,3000000.0,0.74,214.88,0.0,6000000.0,6000000.0,0.0,117
2013-11-26 22:33:20.644717,822       ,2013-03-01 00:00:00,中國信託商業銀行,5405109,3707932,40031,30719,16239000000.0,23567000000.0,632000000.0,0.23,796.06,69000000.0,180000000.0,307000000.0,39000000.0,59070
