etl_dt,bank_code,data_dt,bank_nm,my_tot,fy_tot,my_country,fy_country,my_os,fy_os
2014-05-22,N009      ,2006-03-01,合作金庫銀行,18641000000.0,50848000000.0,15397000000.0,44935000000.0,3244000000.0,5913000000.0
2014-05-22,N015      ,2006-03-01,臺中商業銀行,2210000000.0,3273000000.0,1659000000.0,2765000000.0,551000000.0,508000000.0
2014-05-22,N028      ,2006-03-01,外國銀行在台分行,197077000000,238238000000,127897000000,123634000000,69180000000.0,114604000000
2014-05-22,0         ,2006-04-01,總計,975302000000,1670623000000,625771000000,1050673000000,349531000000,619950000000
2014-05-22,004       ,2006-04-01,臺灣銀行,32941000000.0,103567000000,24806000000.0,88147000000.0,8135000000.0,15420000000.0
2014-05-22,005       ,2006-04-01,臺灣土地銀行,10442000000.0,30228000000.0,9229000000.0,24733000000.0,1213000000.0,5495000000.0
2014-05-22,007       ,2006-04-01,第一商業銀行,63006000000.0,86865000000.0,40986000000.0,60496000000.0,22020000000.0,26369000000.0
2014-05-22,008       ,2006-04-01,華南商業銀行,73765000000.0,121248000000,50794000000.0,91315000000.0,22971000000.0,29933000000.0
2014-05-22,009       ,2006-04-01,彰化商業銀行,50702000000.0,64206000000.0,33960000000.0,44836000000.0,16742000000.0,19370000000.0
2014-05-22,-01       ,2006-04-01,臺東區中小企業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,011       ,2006-04-01,上海商業儲蓄銀行,44981000000.0,55234000000.0,18529000000.0,23194000000.0,26452000000.0,32040000000.0
2014-05-22,012       ,2006-04-01,台北富邦銀行,23651000000.0,48598000000.0,20934000000.0,44296000000.0,2717000000.0,4302000000.0
2014-05-22,013       ,2006-04-01,國泰世華商業銀行,19732000000.0,36728000000.0,14140000000.0,27035000000.0,5592000000.0,9693000000.0
2014-05-22,015       ,2006-04-01,中國輸出入銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,016       ,2006-04-01,高雄銀行,1765000000.0,3204000000.0,1535000000.0,2929000000.0,230000000.0,275000000.0
2014-05-22,040       ,2006-04-01,中華開發工業銀行,4648000000.0,4936000000.0,346000000.0,821000000.0,4302000000.0,4115000000.0
2014-05-22,048       ,2006-04-01,臺灣工業銀行,633000000.0,5289000000.0,436000000.0,3475000000.0,197000000.0,1814000000.0
2014-05-22,050       ,2006-04-01,臺灣中小企業銀行,31098000000.0,38079000000.0,21119000000.0,27728000000.0,9979000000.0,10351000000.0
2014-05-22,052       ,2006-04-01,新竹國際商業銀行,6431000000.0,8465000000.0,5748000000.0,7555000000.0,683000000.0,910000000.0
2014-05-22,102       ,2006-04-01,華泰商業銀行,249000000.0,987000000.0,242000000.0,979000000.0,7000000.0,8000000.0
2014-05-22,103       ,2006-04-01,臺灣新光商業銀行,1168000000.0,2688000000.0,1049000000.0,2355000000.0,-1049000000.0,-2355000000.0
2014-05-22,108       ,2006-04-01,陽信商業銀行,879000000.0,2294000000.0,819000000.0,2124000000.0,60000000.0,170000000.0
2014-05-22,118       ,2006-04-01,板信商業銀行,867000000.0,2095000000.0,700000000.0,1403000000.0,167000000.0,692000000.0
2014-05-22,147       ,2006-04-01,三信商業銀行,102000000.0,484000000.0,102000000.0,484000000.0,0.0,0.0
2014-05-22,151       ,2006-04-01,第七商業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,381       ,2006-04-01,交通銀行,10780000000.0,30466000000.0,9877000000.0,20255000000.0,903000000.0,10211000000.0
2014-05-22,803       ,2006-04-01,聯邦商業銀行,4057000000.0,13217000000.0,3003000000.0,8241000000.0,1054000000.0,4976000000.0
2014-05-22,805       ,2006-04-01,遠東國際商業銀行,6818000000.0,20785000000.0,4806000000.0,10737000000.0,2012000000.0,10048000000.0
2014-05-22,807       ,2006-04-01,建華商業銀行,35598000000.0,61086000000.0,18535000000.0,30732000000.0,17063000000.0,30354000000.0
2014-05-22,808       ,2006-04-01,玉山商業銀行,14649000000.0,39173000000.0,8861000000.0,25240000000.0,5788000000.0,13933000000.0
2014-05-22,809       ,2006-04-01,萬泰商業銀行,1723000000.0,2845000000.0,1362000000.0,2390000000.0,361000000.0,455000000.0
2014-05-22,812       ,2006-04-01,台新國際商業銀行,27869000000.0,92132000000.0,19645000000.0,56142000000.0,8224000000.0,35990000000.0
2014-05-22,814       ,2006-04-01,大眾商業銀行,10200000000.0,20922000000.0,7627000000.0,13123000000.0,2573000000.0,7799000000.0
2014-05-22,815       ,2006-04-01,日盛國際商業銀行,4066000000.0,5741000000.0,3295000000.0,4698000000.0,771000000.0,1043000000.0
2014-05-22,816       ,2006-04-01,安泰商業銀行,2275000000.0,5322000000.0,1854000000.0,4970000000.0,421000000.0,352000000.0
2014-05-22,822       ,2006-04-01,中國信託商業銀行,66167000000.0,129381000000,38075000000.0,66440000000.0,28092000000.0,62941000000.0
