年月,銀行,項目,數值
10108,　兆豐國際商業銀行,本國銀行,底被呆帳提足率,560.87
10108,　兆豐國際商業銀行,本國銀行,本月轉銷呆帳金額,4000000
10108,　兆豐國際商業銀行,本國銀行,循環信用利息收入,23000000
10108,　兆豐國際商業銀行,本國銀行,簽帳手續費收入,35000000
10108,　兆豐國際商業銀行,本國銀行,預借現金手續費,1000000
10108,　兆豐國際商業銀行,本國銀行,收單特約商店家數,271
10108,　花旗(台灣)商業銀行,本國銀行,流通卡數,2600289
10108,　花旗(台灣)商業銀行,本國銀行,有效卡數,2165184
10108,　花旗(台灣)商業銀行,本國銀行,本月發卡數,26597
10108,　花旗(台灣)商業銀行,本國銀行,本月停卡數,24198
10108,　花旗(台灣)商業銀行,本國銀行,循環信用餘額,19447000000
10108,　花旗(台灣)商業銀行,本國銀行,本月簽帳金額,18004000000
10108,　花旗(台灣)商業銀行,本國銀行,本月預借現金金額,260000000
10108,　花旗(台灣)商業銀行,本國銀行,預期帳款比率,0.53
10108,　花旗(台灣)商業銀行,本國銀行,底被呆帳提足率,1640.61
10108,　花旗(台灣)商業銀行,本國銀行,本月轉銷呆帳金額,75000000
10108,　花旗(台灣)商業銀行,本國銀行,循環信用利息收入,279000000
10108,　花旗(台灣)商業銀行,本國銀行,簽帳手續費收入,224000000
10108,　花旗(台灣)商業銀行,本國銀行,預借現金手續費,9000000
10108,　花旗(台灣)商業銀行,本國銀行,收單特約商店家數,24475
10108,　匯豐(台灣)商業銀行,本國銀行,流通卡數,746464
10108,　匯豐(台灣)商業銀行,本國銀行,有效卡數,483551
10108,　匯豐(台灣)商業銀行,本國銀行,本月發卡數,9305
10108,　匯豐(台灣)商業銀行,本國銀行,本月停卡數,7068
10108,　匯豐(台灣)商業銀行,本國銀行,循環信用餘額,4753000000
10108,　匯豐(台灣)商業銀行,本國銀行,本月簽帳金額,4377000000
10108,　匯豐(台灣)商業銀行,本國銀行,本月預借現金金額,88000000
10108,　匯豐(台灣)商業銀行,本國銀行,預期帳款比率,0.36
10108,　匯豐(台灣)商業銀行,本國銀行,底被呆帳提足率,1542.25
10108,　匯豐(台灣)商業銀行,本國銀行,本月轉銷呆帳金額,11000000
10108,　匯豐(台灣)商業銀行,本國銀行,循環信用利息收入,67000000
10108,　匯豐(台灣)商業銀行,本國銀行,簽帳手續費收入,60000000
10108,　匯豐(台灣)商業銀行,本國銀行,預借現金手續費,1000000
10108,　匯豐(台灣)商業銀行,本國銀行,收單特約商店家數,6
10108,　華泰商業銀行,本國銀行,流通卡數,11701
10108,　華泰商業銀行,本國銀行,有效卡數,7514
10108,　華泰商業銀行,本國銀行,本月發卡數,24
10108,　華泰商業銀行,本國銀行,本月停卡數,20
10108,　華泰商業銀行,本國銀行,循環信用餘額,25000000
10108,　華泰商業銀行,本國銀行,本月簽帳金額,66000000
10108,　華泰商業銀行,本國銀行,本月預借現金金額,0
10108,　華泰商業銀行,本國銀行,預期帳款比率,0.11
10108,　華泰商業銀行,本國銀行,底被呆帳提足率,148.53
10108,　華泰商業銀行,本國銀行,本月轉銷呆帳金額,0
10108,　華泰商業銀行,本國銀行,循環信用利息收入,0
