年月,銀行,銀行類別,項目,數值,英文項目
9901,中國輸出入銀行,本國銀行,購置住宅貸款餘額,0,Mortgage_Bal
9901,中國輸出入銀行,本國銀行,房屋修繕貸款戶數,0,Decorator_Hse_Cnt
9901,中國輸出入銀行,本國銀行,房屋修繕貸款餘額,0,Decorator_Hse_Bal
9901,中國輸出入銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,中國輸出入銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,中國輸出入銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,中國輸出入銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,中國輸出入銀行,本國銀行,其他個人消費貸款戶數,0,Other_CL_Cnt
9901,中國輸出入銀行,本國銀行,其他個人消費貸款餘額,0,Other_CL_Bal
9901,高雄銀行,本國銀行,購置住宅貸款戶數,21175,Mortgage_Cnt
9901,高雄銀行,本國銀行,購置住宅貸款餘額,32466000000,Mortgage_Bal
9901,高雄銀行,本國銀行,房屋修繕貸款戶數,4773,Decorator_Hse_Cnt
9901,高雄銀行,本國銀行,房屋修繕貸款餘額,8354000000,Decorator_Hse_Bal
9901,高雄銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,高雄銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,高雄銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,高雄銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,高雄銀行,本國銀行,其他個人消費貸款戶數,58073,Other_CL_Cnt
9901,高雄銀行,本國銀行,其他個人消費貸款餘額,8048000000,Other_CL_Bal
9901,兆豐國際商業銀行,本國銀行,購置住宅貸款戶數,55451,Mortgage_Cnt
9901,兆豐國際商業銀行,本國銀行,購置住宅貸款餘額,177768000000,Mortgage_Bal
9901,兆豐國際商業銀行,本國銀行,房屋修繕貸款戶數,10311,Decorator_Hse_Cnt
9901,兆豐國際商業銀行,本國銀行,房屋修繕貸款餘額,19436000000,Decorator_Hse_Bal
9901,兆豐國際商業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,兆豐國際商業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,兆豐國際商業銀行,本國銀行,機關團體職工福利貸款戶數,6748,Ln_Worker_Cnt
9901,兆豐國際商業銀行,本國銀行,機關團體職工福利貸款餘額,2891000000,Ln_Worker_Bal
9901,兆豐國際商業銀行,本國銀行,其他個人消費貸款戶數,5816,Other_CL_Cnt
9901,兆豐國際商業銀行,本國銀行,其他個人消費貸款餘額,25184000000,Other_CL_Bal
9901,花旗,本國銀行,購置住宅貸款戶數,35494,Mortgage_Cnt
9901,花旗,本國銀行,購置住宅貸款餘額,73502000000,Mortgage_Bal
9901,花旗,本國銀行,房屋修繕貸款戶數,1760,Decorator_Hse_Cnt
9901,花旗,本國銀行,房屋修繕貸款餘額,3213000000,Decorator_Hse_Bal
9901,花旗,本國銀行,購置汽車貸款戶數,28,Ln_Car_Cnt
9901,花旗,本國銀行,購置汽車貸款餘額,4000000,Ln_Car_Bal
9901,花旗,本國銀行,機關團體職工福利貸款戶數,298,Ln_Worker_Cnt
9901,花旗,本國銀行,機關團體職工福利貸款餘額,299000000,Ln_Worker_Bal
9901,花旗,本國銀行,其他個人消費貸款戶數,159502,Other_CL_Cnt
9901,花旗,本國銀行,其他個人消費貸款餘額,22432000000,Other_CL_Bal
9901,中華開發工業銀行,本國銀行,購置住宅貸款戶數,0,Mortgage_Cnt
9901,中華開發工業銀行,本國銀行,購置住宅貸款餘額,0,Mortgage_Bal
9901,中華開發工業銀行,本國銀行,房屋修繕貸款戶數,0,Decorator_Hse_Cnt
9901,中華開發工業銀行,本國銀行,房屋修繕貸款餘額,0,Decorator_Hse_Bal
9901,中華開發工業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,中華開發工業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,中華開發工業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,中華開發工業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,中華開發工業銀行,本國銀行,其他個人消費貸款戶數,54,Other_CL_Cnt
9901,中華開發工業銀行,本國銀行,其他個人消費貸款餘額,26000000,Other_CL_Bal
9901,臺灣工業銀行,本國銀行,購置住宅貸款戶數,2,Mortgage_Cnt
9901,臺灣工業銀行,本國銀行,購置住宅貸款餘額,2000000,Mortgage_Bal
9901,臺灣工業銀行,本國銀行,房屋修繕貸款戶數,0,Decorator_Hse_Cnt
9901,臺灣工業銀行,本國銀行,房屋修繕貸款餘額,0,Decorator_Hse_Bal
9901,臺灣工業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,臺灣工業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,臺灣工業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,臺灣工業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,臺灣工業銀行,本國銀行,其他個人消費貸款戶數,0,Other_CL_Cnt
9901,臺灣工業銀行,本國銀行,其他個人消費貸款餘額,0,Other_CL_Bal
9901,大台北商業銀行,本國銀行,購置住宅貸款戶數,2519,Mortgage_Cnt
9901,大台北商業銀行,本國銀行,購置住宅貸款餘額,7047000000,Mortgage_Bal
9901,大台北商業銀行,本國銀行,房屋修繕貸款戶數,146,Decorator_Hse_Cnt
9901,大台北商業銀行,本國銀行,房屋修繕貸款餘額,189000000,Decorator_Hse_Bal
9901,大台北商業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,大台北商業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,大台北商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,大台北商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,大台北商業銀行,本國銀行,其他個人消費貸款戶數,731,Other_CL_Cnt
9901,大台北商業銀行,本國銀行,其他個人消費貸款餘額,521000000,Other_CL_Bal
9901,華泰商業銀行,本國銀行,購置住宅貸款戶數,3587,Mortgage_Cnt
9901,華泰商業銀行,本國銀行,購置住宅貸款餘額,10124000000,Mortgage_Bal
9901,華泰商業銀行,本國銀行,房屋修繕貸款戶數,2966,Decorator_Hse_Cnt
9901,華泰商業銀行,本國銀行,房屋修繕貸款餘額,8512000000,Decorator_Hse_Bal
9901,華泰商業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,華泰商業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,華泰商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,華泰商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,華泰商業銀行,本國銀行,其他個人消費貸款戶數,2061,Other_CL_Cnt
9901,華泰商業銀行,本國銀行,其他個人消費貸款餘額,455000000,Other_CL_Bal
9901,臺灣新光商業銀行,本國銀行,購置住宅貸款戶數,21447,Mortgage_Cnt
9901,臺灣新光商業銀行,本國銀行,購置住宅貸款餘額,63589000000,Mortgage_Bal
9901,臺灣新光商業銀行,本國銀行,房屋修繕貸款戶數,879,Decorator_Hse_Cnt
9901,臺灣新光商業銀行,本國銀行,房屋修繕貸款餘額,1335000000,Decorator_Hse_Bal
9901,臺灣新光商業銀行,本國銀行,購置汽車貸款戶數,11294,Ln_Car_Cnt
9901,臺灣新光商業銀行,本國銀行,購置汽車貸款餘額,3868000000,Ln_Car_Bal
9901,臺灣新光商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,臺灣新光商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,臺灣新光商業銀行,本國銀行,其他個人消費貸款戶數,71612,Other_CL_Cnt
9901,臺灣新光商業銀行,本國銀行,其他個人消費貸款餘額,25799000000,Other_CL_Bal
9901,陽信商業銀行,本國銀行,購置住宅貸款戶數,21328,Mortgage_Cnt
9901,陽信商業銀行,本國銀行,購置住宅貸款餘額,51496000000,Mortgage_Bal
9901,陽信商業銀行,本國銀行,房屋修繕貸款戶數,2632,Decorator_Hse_Cnt
9901,陽信商業銀行,本國銀行,房屋修繕貸款餘額,3972000000,Decorator_Hse_Bal
9901,陽信商業銀行,本國銀行,購置汽車貸款戶數,59,Ln_Car_Cnt
9901,陽信商業銀行,本國銀行,購置汽車貸款餘額,68000000,Ln_Car_Bal
9901,陽信商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,陽信商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,陽信商業銀行,本國銀行,其他個人消費貸款戶數,23381,Other_CL_Cnt
9901,陽信商業銀行,本國銀行,其他個人消費貸款餘額,3575000000,Other_CL_Bal
9901,板信商業銀行,本國銀行,購置住宅貸款戶數,20937,Mortgage_Cnt
9901,板信商業銀行,本國銀行,購置住宅貸款餘額,39284000000,Mortgage_Bal
9901,板信商業銀行,本國銀行,房屋修繕貸款戶數,160,Decorator_Hse_Cnt
9901,板信商業銀行,本國銀行,房屋修繕貸款餘額,232000000,Decorator_Hse_Bal
9901,板信商業銀行,本國銀行,購置汽車貸款戶數,5,Ln_Car_Cnt
9901,板信商業銀行,本國銀行,購置汽車貸款餘額,2000000,Ln_Car_Bal
9901,板信商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,板信商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,板信商業銀行,本國銀行,其他個人消費貸款戶數,23695,Other_CL_Cnt
9901,板信商業銀行,本國銀行,其他個人消費貸款餘額,2874000000,Other_CL_Bal
9901,三信商業銀行,本國銀行,購置住宅貸款戶數,5897,Mortgage_Cnt
9901,三信商業銀行,本國銀行,購置住宅貸款餘額,17378000000,Mortgage_Bal
9901,三信商業銀行,本國銀行,房屋修繕貸款戶數,869,Decorator_Hse_Cnt
9901,三信商業銀行,本國銀行,房屋修繕貸款餘額,1330000000,Decorator_Hse_Bal
9901,三信商業銀行,本國銀行,購置汽車貸款戶數,29689,Ln_Car_Cnt
9901,三信商業銀行,本國銀行,購置汽車貸款餘額,10239000000,Ln_Car_Bal
9901,三信商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,三信商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,三信商業銀行,本國銀行,其他個人消費貸款戶數,25752,Other_CL_Cnt
9901,三信商業銀行,本國銀行,其他個人消費貸款餘額,9738000000,Other_CL_Bal
9901,聯邦商業銀行,本國銀行,購置住宅貸款戶數,30158,Mortgage_Cnt
9901,聯邦商業銀行,本國銀行,購置住宅貸款餘額,64029000000,Mortgage_Bal
9901,聯邦商業銀行,本國銀行,房屋修繕貸款戶數,14640,Decorator_Hse_Cnt
9901,聯邦商業銀行,本國銀行,房屋修繕貸款餘額,37842000000,Decorator_Hse_Bal
9901,聯邦商業銀行,本國銀行,購置汽車貸款戶數,22571,Ln_Car_Cnt
9901,聯邦商業銀行,本國銀行,購置汽車貸款餘額,6092000000,Ln_Car_Bal
9901,聯邦商業銀行,本國銀行,機關團體職工福利貸款戶數,13,Ln_Worker_Cnt
9901,聯邦商業銀行,本國銀行,機關團體職工福利貸款餘額,3000000,Ln_Worker_Bal
9901,聯邦商業銀行,本國銀行,其他個人消費貸款戶數,27502,Other_CL_Cnt
9901,聯邦商業銀行,本國銀行,其他個人消費貸款餘額,2623000000,Other_CL_Bal
9901,遠東國際商業銀行,本國銀行,購置住宅貸款戶數,33865,Mortgage_Cnt
9901,遠東國際商業銀行,本國銀行,購置住宅貸款餘額,84020000000,Mortgage_Bal
9901,遠東國際商業銀行,本國銀行,房屋修繕貸款戶數,9734,Decorator_Hse_Cnt
9901,遠東國際商業銀行,本國銀行,房屋修繕貸款餘額,17338000000,Decorator_Hse_Bal
9901,遠東國際商業銀行,本國銀行,購置汽車貸款戶數,24578,Ln_Car_Cnt
9901,遠東國際商業銀行,本國銀行,購置汽車貸款餘額,5533000000,Ln_Car_Bal
9901,遠東國際商業銀行,本國銀行,機關團體職工福利貸款戶數,13103,Ln_Worker_Cnt
9901,遠東國際商業銀行,本國銀行,機關團體職工福利貸款餘額,2987000000,Ln_Worker_Bal
9901,遠東國際商業銀行,本國銀行,其他個人消費貸款戶數,113420,Other_CL_Cnt
9901,遠東國際商業銀行,本國銀行,其他個人消費貸款餘額,9976000000,Other_CL_Bal
9901,元大商業銀行,本國銀行,購置住宅貸款戶數,19328,Mortgage_Cnt
9901,元大商業銀行,本國銀行,購置住宅貸款餘額,50998000000,Mortgage_Bal
9901,元大商業銀行,本國銀行,房屋修繕貸款戶數,10424,Decorator_Hse_Cnt
9901,元大商業銀行,本國銀行,房屋修繕貸款餘額,18841000000,Decorator_Hse_Bal
9901,元大商業銀行,本國銀行,購置汽車貸款戶數,8072,Ln_Car_Cnt
9901,元大商業銀行,本國銀行,購置汽車貸款餘額,1421000000,Ln_Car_Bal
9901,元大商業銀行,本國銀行,機關團體職工福利貸款戶數,620,Ln_Worker_Cnt
9901,元大商業銀行,本國銀行,機關團體職工福利貸款餘額,96000000,Ln_Worker_Bal
9901,元大商業銀行,本國銀行,其他個人消費貸款戶數,25773,Other_CL_Cnt
9901,元大商業銀行,本國銀行,其他個人消費貸款餘額,25884000000,Other_CL_Bal
9901,永豐商業銀行,本國銀行,購置住宅貸款戶數,94031,Mortgage_Cnt
9901,永豐商業銀行,本國銀行,購置住宅貸款餘額,282344000000,Mortgage_Bal
9901,永豐商業銀行,本國銀行,房屋修繕貸款戶數,21185,Decorator_Hse_Cnt
9901,永豐商業銀行,本國銀行,房屋修繕貸款餘額,38390000000,Decorator_Hse_Bal
9901,永豐商業銀行,本國銀行,購置汽車貸款戶數,6903,Ln_Car_Cnt
9901,永豐商業銀行,本國銀行,購置汽車貸款餘額,3157000000,Ln_Car_Bal
9901,永豐商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,永豐商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,永豐商業銀行,本國銀行,其他個人消費貸款戶數,43202,Other_CL_Cnt
9901,永豐商業銀行,本國銀行,其他個人消費貸款餘額,11945000000,Other_CL_Bal
9901,玉山商業銀行,本國銀行,購置住宅貸款戶數,53242,Mortgage_Cnt
9901,玉山商業銀行,本國銀行,購置住宅貸款餘額,175876000000,Mortgage_Bal
9901,玉山商業銀行,本國銀行,房屋修繕貸款戶數,44739,Decorator_Hse_Cnt
9901,玉山商業銀行,本國銀行,房屋修繕貸款餘額,79872000000,Decorator_Hse_Bal
9901,玉山商業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,玉山商業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,玉山商業銀行,本國銀行,機關團體職工福利貸款戶數,1,Ln_Worker_Cnt
9901,玉山商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,玉山商業銀行,本國銀行,其他個人消費貸款戶數,60976,Other_CL_Cnt
9901,玉山商業銀行,本國銀行,其他個人消費貸款餘額,14832000000,Other_CL_Bal
9901,萬泰商業銀行,本國銀行,購置住宅貸款戶數,3023,Mortgage_Cnt
9901,萬泰商業銀行,本國銀行,購置住宅貸款餘額,3876000000,Mortgage_Bal
9901,萬泰商業銀行,本國銀行,房屋修繕貸款戶數,1406,Decorator_Hse_Cnt
9901,萬泰商業銀行,本國銀行,房屋修繕貸款餘額,1522000000,Decorator_Hse_Bal
9901,萬泰商業銀行,本國銀行,購置汽車貸款戶數,6766,Ln_Car_Cnt
9901,萬泰商業銀行,本國銀行,購置汽車貸款餘額,890000000,Ln_Car_Bal
9901,萬泰商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,萬泰商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,萬泰商業銀行,本國銀行,其他個人消費貸款戶數,243144,Other_CL_Cnt
9901,萬泰商業銀行,本國銀行,其他個人消費貸款餘額,30499000000,Other_CL_Bal
9901,台新國際商業銀行,本國銀行,購置住宅貸款戶數,84282,Mortgage_Cnt
9901,台新國際商業銀行,本國銀行,購置住宅貸款餘額,198140000000,Mortgage_Bal
9901,台新國際商業銀行,本國銀行,房屋修繕貸款戶數,4074,Decorator_Hse_Cnt
9901,台新國際商業銀行,本國銀行,房屋修繕貸款餘額,5274000000,Decorator_Hse_Bal
9901,台新國際商業銀行,本國銀行,購置汽車貸款戶數,39692,Ln_Car_Cnt
9901,台新國際商業銀行,本國銀行,購置汽車貸款餘額,13479000000,Ln_Car_Bal
9901,台新國際商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,台新國際商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,台新國際商業銀行,本國銀行,其他個人消費貸款戶數,178768,Other_CL_Cnt
9901,台新國際商業銀行,本國銀行,其他個人消費貸款餘額,65035000000,Other_CL_Bal
9901,大眾商業銀行,本國銀行,購置住宅貸款戶數,27801,Mortgage_Cnt
9901,大眾商業銀行,本國銀行,購置住宅貸款餘額,69611000000,Mortgage_Bal
9901,大眾商業銀行,本國銀行,房屋修繕貸款戶數,573,Decorator_Hse_Cnt
9901,大眾商業銀行,本國銀行,房屋修繕貸款餘額,761000000,Decorator_Hse_Bal
9901,大眾商業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,大眾商業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,大眾商業銀行,本國銀行,機關團體職工福利貸款戶數,937,Ln_Worker_Cnt
9901,大眾商業銀行,本國銀行,機關團體職工福利貸款餘額,344000000,Ln_Worker_Bal
9901,大眾商業銀行,本國銀行,其他個人消費貸款戶數,106051,Other_CL_Cnt
9901,大眾商業銀行,本國銀行,其他個人消費貸款餘額,12849000000,Other_CL_Bal
9901,日盛國際商業銀行,本國銀行,購置住宅貸款戶數,22588,Mortgage_Cnt
