年月,銀行,銀行類別,項目,數值
10003,遠東國際商業銀行,本國銀行,房屋修繕貸款餘額,4864000000
10003,遠東國際商業銀行,本國銀行,購置汽車貸款戶數,28278
10003,遠東國際商業銀行,本國銀行,購置汽車貸款餘額,4814000000
10003,遠東國際商業銀行,本國銀行,機關團體職工福利貸款戶數,7936
10003,遠東國際商業銀行,本國銀行,機關團體職工福利貸款餘額,1500000000
10003,遠東國際商業銀行,本國銀行,其他個人消費貸款戶數,128762
10003,遠東國際商業銀行,本國銀行,其他個人消費貸款餘額,14167000000
10003,元大商業銀行,本國銀行,購置住宅貸款戶數,22494
10003,元大商業銀行,本國銀行,購置住宅貸款餘額,75217000000
10003,元大商業銀行,本國銀行,房屋修繕貸款戶數,8783
10003,元大商業銀行,本國銀行,房屋修繕貸款餘額,12766000000
10003,元大商業銀行,本國銀行,購置汽車貸款戶數,14881
10003,元大商業銀行,本國銀行,購置汽車貸款餘額,4696000000
10003,元大商業銀行,本國銀行,機關團體職工福利貸款戶數,211
10003,元大商業銀行,本國銀行,機關團體職工福利貸款餘額,46000000
10003,元大商業銀行,本國銀行,其他個人消費貸款戶數,18323
10003,元大商業銀行,本國銀行,其他個人消費貸款餘額,8352000000
10003,永豐商業銀行,本國銀行,購置住宅貸款戶數,81611
10003,永豐商業銀行,本國銀行,購置住宅貸款餘額,228891000000
10003,永豐商業銀行,本國銀行,房屋修繕貸款戶數,14799
10003,永豐商業銀行,本國銀行,房屋修繕貸款餘額,21759000000
10003,永豐商業銀行,本國銀行,購置汽車貸款戶數,5367
10003,永豐商業銀行,本國銀行,購置汽車貸款餘額,3231000000
10003,永豐商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,永豐商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,永豐商業銀行,本國銀行,其他個人消費貸款戶數,37990
10003,永豐商業銀行,本國銀行,其他個人消費貸款餘額,10663000000
10003,玉山商業銀行,本國銀行,購置住宅貸款戶數,70444
10003,玉山商業銀行,本國銀行,購置住宅貸款餘額,215265000000
10003,玉山商業銀行,本國銀行,房屋修繕貸款戶數,10736
10003,玉山商業銀行,本國銀行,房屋修繕貸款餘額,20107000000
10003,玉山商業銀行,本國銀行,購置汽車貸款戶數,0
10003,玉山商業銀行,本國銀行,購置汽車貸款餘額,0
10003,玉山商業銀行,本國銀行,機關團體職工福利貸款戶數,992
10003,玉山商業銀行,本國銀行,機關團體職工福利貸款餘額,585000000
10003,玉山商業銀行,本國銀行,其他個人消費貸款戶數,77077
10003,玉山商業銀行,本國銀行,其他個人消費貸款餘額,22994000000
10003,萬泰商業銀行,本國銀行,購置住宅貸款戶數,3465
10003,萬泰商業銀行,本國銀行,購置住宅貸款餘額,8481000000
10003,萬泰商業銀行,本國銀行,房屋修繕貸款戶數,1071
10003,萬泰商業銀行,本國銀行,房屋修繕貸款餘額,1057000000
10003,萬泰商業銀行,本國銀行,購置汽車貸款戶數,1759
10003,萬泰商業銀行,本國銀行,購置汽車貸款餘額,146000000
10003,萬泰商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,萬泰商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,萬泰商業銀行,本國銀行,其他個人消費貸款戶數,219831
10003,萬泰商業銀行,本國銀行,其他個人消費貸款餘額,26741000000
10003,台新國際商業銀行,本國銀行,購置住宅貸款戶數,82735
10003,台新國際商業銀行,本國銀行,購置住宅貸款餘額,204450000000
10003,台新國際商業銀行,本國銀行,房屋修繕貸款戶數,3326
10003,台新國際商業銀行,本國銀行,房屋修繕貸款餘額,3606000000
10003,台新國際商業銀行,本國銀行,購置汽車貸款戶數,35739
10003,台新國際商業銀行,本國銀行,購置汽車貸款餘額,13651000000
10003,台新國際商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,台新國際商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,台新國際商業銀行,本國銀行,其他個人消費貸款戶數,160220
10003,台新國際商業銀行,本國銀行,其他個人消費貸款餘額,69407000000
10003,大眾商業銀行,本國銀行,購置住宅貸款戶數,33775
10003,大眾商業銀行,本國銀行,購置住宅貸款餘額,98957000000
10003,大眾商業銀行,本國銀行,房屋修繕貸款戶數,579
10003,大眾商業銀行,本國銀行,房屋修繕貸款餘額,861000000
10003,大眾商業銀行,本國銀行,購置汽車貸款戶數,0
10003,大眾商業銀行,本國銀行,購置汽車貸款餘額,0
10003,大眾商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,大眾商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,大眾商業銀行,本國銀行,其他個人消費貸款戶數,75888
10003,大眾商業銀行,本國銀行,其他個人消費貸款餘額,8881000000
10003,日盛國際商業銀行,本國銀行,購置住宅貸款戶數,22585
10003,日盛國際商業銀行,本國銀行,購置住宅貸款餘額,44254000000
10003,日盛國際商業銀行,本國銀行,房屋修繕貸款戶數,5946
10003,日盛國際商業銀行,本國銀行,房屋修繕貸款餘額,11739000000
10003,日盛國際商業銀行,本國銀行,購置汽車貸款戶數,326
10003,日盛國際商業銀行,本國銀行,購置汽車貸款餘額,73000000
10003,日盛國際商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,日盛國際商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,日盛國際商業銀行,本國銀行,其他個人消費貸款戶數,31494
10003,日盛國際商業銀行,本國銀行,其他個人消費貸款餘額,10244000000
10003,安泰商業銀行,本國銀行,購置住宅貸款戶數,16063
10003,安泰商業銀行,本國銀行,購置住宅貸款餘額,61243000000
10003,安泰商業銀行,本國銀行,房屋修繕貸款戶數,2863
10003,安泰商業銀行,本國銀行,房屋修繕貸款餘額,7401000000
10003,安泰商業銀行,本國銀行,購置汽車貸款戶數,698
10003,安泰商業銀行,本國銀行,購置汽車貸款餘額,153000000
10003,安泰商業銀行,本國銀行,機關團體職工福利貸款戶數,450
10003,安泰商業銀行,本國銀行,機關團體職工福利貸款餘額,189000000
10003,安泰商業銀行,本國銀行,其他個人消費貸款戶數,39683
10003,安泰商業銀行,本國銀行,其他個人消費貸款餘額,8351000000
10003,中國信託商業銀行,本國銀行,購置住宅貸款戶數,128421
10003,中國信託商業銀行,本國銀行,購置住宅貸款餘額,285085000000
10003,中國信託商業銀行,本國銀行,房屋修繕貸款戶數,19428
10003,中國信託商業銀行,本國銀行,房屋修繕貸款餘額,23807000000
10003,中國信託商業銀行,本國銀行,購置汽車貸款戶數,56079
10003,中國信託商業銀行,本國銀行,購置汽車貸款餘額,12262000000
10003,中國信託商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,中國信託商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,中國信託商業銀行,本國銀行,其他個人消費貸款戶數,241111
10003,中國信託商業銀行,本國銀行,其他個人消費貸款餘額,41927000000
10003,臺灣中小企業銀行,本國銀行,購置住宅貸款戶數,65989
10003,臺灣中小企業銀行,本國銀行,購置住宅貸款餘額,134744000000
10003,臺灣中小企業銀行,本國銀行,房屋修繕貸款戶數,8814
10003,臺灣中小企業銀行,本國銀行,房屋修繕貸款餘額,14343000000
10003,臺灣中小企業銀行,本國銀行,購置汽車貸款戶數,0
10003,臺灣中小企業銀行,本國銀行,購置汽車貸款餘額,0
10003,臺灣中小企業銀行,本國銀行,機關團體職工福利貸款戶數,32936
10003,臺灣中小企業銀行,本國銀行,機關團體職工福利貸款餘額,15656000000
10003,臺灣中小企業銀行,本國銀行,其他個人消費貸款戶數,19675
10003,臺灣中小企業銀行,本國銀行,其他個人消費貸款餘額,31660000000
10003,渣打國際商業銀行,本國銀行,購置住宅貸款戶數,74842
10003,渣打國際商業銀行,本國銀行,購置住宅貸款餘額,174738000000
10003,渣打國際商業銀行,本國銀行,房屋修繕貸款戶數,9298
10003,渣打國際商業銀行,本國銀行,房屋修繕貸款餘額,13693000000
10003,渣打國際商業銀行,本國銀行,購置汽車貸款戶數,0
10003,渣打國際商業銀行,本國銀行,購置汽車貸款餘額,0
10003,渣打國際商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,渣打國際商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,渣打國際商業銀行,本國銀行,其他個人消費貸款戶數,207083
10003,渣打國際商業銀行,本國銀行,其他個人消費貸款餘額,48404000000
10003,台中商業銀行,本國銀行,購置住宅貸款戶數,23550
10003,台中商業銀行,本國銀行,購置住宅貸款餘額,43244000000
10003,台中商業銀行,本國銀行,房屋修繕貸款戶數,457
10003,台中商業銀行,本國銀行,房屋修繕貸款餘額,170000000
10003,台中商業銀行,本國銀行,購置汽車貸款戶數,4
10003,台中商業銀行,本國銀行,購置汽車貸款餘額,4000000
10003,台中商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,台中商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,台中商業銀行,本國銀行,其他個人消費貸款戶數,6967
10003,台中商業銀行,本國銀行,其他個人消費貸款餘額,1699000000
10003,京城商業銀行,本國銀行,購置住宅貸款戶數,9626
10003,京城商業銀行,本國銀行,購置住宅貸款餘額,17449000000
10003,京城商業銀行,本國銀行,房屋修繕貸款戶數,4088
10003,京城商業銀行,本國銀行,房屋修繕貸款餘額,4501000000
10003,京城商業銀行,本國銀行,購置汽車貸款戶數,83
10003,京城商業銀行,本國銀行,購置汽車貸款餘額,41000000
10003,京城商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,京城商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,京城商業銀行,本國銀行,其他個人消費貸款戶數,6914
10003,京城商業銀行,本國銀行,其他個人消費貸款餘額,9126000000
10003,總計,外國銀行在台分行,購置住宅貸款戶數,13607
10003,總計,外國銀行在台分行,購置住宅貸款餘額,31265000000
10003,總計,外國銀行在台分行,房屋修繕貸款戶數,2664
10003,總計,外國銀行在台分行,房屋修繕貸款餘額,3794000000
