年月,銀行,銀行類別,項目,數值,英文項目
9507,寶華商業銀行,海外外匯活期存款,海外外匯活期存款,93000000,MY_OS
9507,寶華商業銀行,海外外匯定期存款,海外外匯定期存款,382000000,FY_OS
9507,台新國際商業銀行,國內外匯活期存款,國內外匯活期存款,19992000000,My_Country
9507,台新國際商業銀行,國內外匯定期存款,國內外匯定期存款,53404000000,Fy_Country
9507,台新國際商業銀行,海外外匯活期存款,海外外匯活期存款,8129000000,MY_OS
9507,台新國際商業銀行,海外外匯定期存款,海外外匯定期存款,32897000000,FY_OS
9507,大眾商業銀行,國內外匯活期存款,國內外匯活期存款,7114000000,My_Country
9507,大眾商業銀行,國內外匯定期存款,國內外匯定期存款,13579000000,Fy_Country
9507,大眾商業銀行,海外外匯活期存款,海外外匯活期存款,2813000000,MY_OS
9507,大眾商業銀行,海外外匯定期存款,海外外匯定期存款,8879000000,FY_OS
9507,日盛國際商業銀行,國內外匯活期存款,國內外匯活期存款,3632000000,My_Country
9507,日盛國際商業銀行,國內外匯定期存款,國內外匯定期存款,4976000000,Fy_Country
9507,日盛國際商業銀行,海外外匯活期存款,海外外匯活期存款,639000000,MY_OS
9507,日盛國際商業銀行,海外外匯定期存款,海外外匯定期存款,1116000000,FY_OS
9507,安泰商業銀行,國內外匯活期存款,國內外匯活期存款,1719000000,My_Country
9507,安泰商業銀行,國內外匯定期存款,國內外匯定期存款,5167000000,Fy_Country
9507,安泰商業銀行,海外外匯活期存款,海外外匯活期存款,351000000,MY_OS
9507,安泰商業銀行,海外外匯定期存款,海外外匯定期存款,370000000,FY_OS
9507,中國信託商業銀行,國內外匯活期存款,國內外匯活期存款,36686000000,My_Country
9507,中國信託商業銀行,國內外匯定期存款,國內外匯定期存款,69957000000,Fy_Country
9507,中國信託商業銀行,海外外匯活期存款,海外外匯活期存款,39879000000,MY_OS
9507,中國信託商業銀行,海外外匯定期存款,海外外匯定期存款,61666000000,FY_OS
9507,慶豐商業銀行,國內外匯活期存款,國內外匯活期存款,428000000,My_Country
9507,慶豐商業銀行,國內外匯定期存款,國內外匯定期存款,3709000000,Fy_Country
9507,慶豐商業銀行,海外外匯活期存款,海外外匯活期存款,1753000000,MY_OS
9507,慶豐商業銀行,海外外匯定期存款,海外外匯定期存款,1581000000,FY_OS
9507,臺灣中小企業銀行,國內外匯活期存款,國內外匯活期存款,18052000000,My_Country
9507,臺灣中小企業銀行,國內外匯定期存款,國內外匯定期存款,29216000000,Fy_Country
9507,臺灣中小企業銀行,海外外匯活期存款,海外外匯活期存款,9241000000,MY_OS
9507,臺灣中小企業銀行,海外外匯定期存款,海外外匯定期存款,11370000000,FY_OS
9507,臺北國際商業銀行,國內外匯活期存款,國內外匯活期存款,8098000000,My_Country
9507,臺北國際商業銀行,國內外匯定期存款,國內外匯定期存款,9553000000,Fy_Country
9507,臺北國際商業銀行,海外外匯活期存款,海外外匯活期存款,6676000000,MY_OS
9507,臺北國際商業銀行,海外外匯定期存款,海外外匯定期存款,7562000000,FY_OS
9507,新竹國際商業銀行,國內外匯活期存款,國內外匯活期存款,7108000000,My_Country
9507,新竹國際商業銀行,國內外匯定期存款,國內外匯定期存款,7992000000,Fy_Country
9507,新竹國際商業銀行,海外外匯活期存款,海外外匯活期存款,720000000,MY_OS
9507,新竹國際商業銀行,海外外匯定期存款,海外外匯定期存款,954000000,FY_OS
9507,臺中商業銀行,國內外匯活期存款,國內外匯活期存款,1461000000,My_Country
9507,臺中商業銀行,國內外匯定期存款,國內外匯定期存款,3302000000,Fy_Country
9507,臺中商業銀行,海外外匯活期存款,海外外匯活期存款,467000000,MY_OS
9507,臺中商業銀行,海外外匯定期存款,海外外匯定期存款,637000000,FY_OS
9507,京城商業銀行,國內外匯活期存款,國內外匯活期存款,564000000,My_Country
9507,京城商業銀行,國內外匯定期存款,國內外匯定期存款,1570000000,Fy_Country
9507,京城商業銀行,海外外匯活期存款,海外外匯活期存款,95000000,MY_OS
9507,京城商業銀行,海外外匯定期存款,海外外匯定期存款,168000000,FY_OS
9507,花蓮區中小企業銀行,國內外匯活期存款,國內外匯活期存款,0,My_Country
9507,花蓮區中小企業銀行,國內外匯定期存款,國內外匯定期存款,0,Fy_Country
9507,花蓮區中小企業銀行,海外外匯活期存款,海外外匯活期存款,0,MY_OS
9507,花蓮區中小企業銀行,海外外匯定期存款,海外外匯定期存款,0,FY_OS
9507,臺東區中小企業銀行,國內外匯活期存款,國內外匯活期存款,0,My_Country
9507,臺東區中小企業銀行,國內外匯定期存款,國內外匯定期存款,0,Fy_Country
9507,臺東區中小企業銀行,海外外匯活期存款,海外外匯活期存款,0,MY_OS
9507,臺東區中小企業銀行,海外外匯定期存款,海外外匯定期存款,0,FY_OS
9507,外國銀行在台分行,國內外匯活期存款,國內外匯活期存款,134715000000,My_Country
9507,外國銀行在台分行,國內外匯定期存款,國內外匯定期存款,139245000000,Fy_Country
9507,外國銀行在台分行,海外外匯活期存款,海外外匯活期存款,66277000000,MY_OS
9507,外國銀行在台分行,海外外匯定期存款,海外外匯定期存款,122418000000,FY_OS
