年月,銀行,項目,數值
10008,中華開發工業銀行,全行外匯總存款,26002000000
10008,臺灣工業銀行,全行外匯活期存款,1678000000
10008,臺灣工業銀行,全行外匯定期存款,15308000000
10008,臺灣工業銀行,全行外匯總存款,16986000000
10008,匯豐,全行外匯活期存款,76978000000
10008,匯豐,全行外匯定期存款,26151000000
10008,匯豐,全行外匯總存款,103129000000
10008,大台北商業銀行,全行外匯活期存款,144000000
10008,大台北商業銀行,全行外匯定期存款,88000000
10008,大台北商業銀行,全行外匯總存款,232000000
10008,華泰商業銀行,全行外匯活期存款,1347000000
10008,華泰商業銀行,全行外匯定期存款,894000000
10008,華泰商業銀行,全行外匯總存款,2241000000
10008,臺灣新光商業銀行,全行外匯活期存款,21649000000
10008,臺灣新光商業銀行,全行外匯定期存款,23904000000
10008,臺灣新光商業銀行,全行外匯總存款,45553000000
10008,陽信商業銀行,全行外匯活期存款,3916000000
10008,陽信商業銀行,全行外匯定期存款,3032000000
10008,陽信商業銀行,全行外匯總存款,6948000000
10008,板信商業銀行,全行外匯活期存款,3916000000
10008,板信商業銀行,全行外匯定期存款,3364000000
10008,板信商業銀行,全行外匯總存款,7280000000
10008,三信商業銀行,全行外匯活期存款,625000000
10008,三信商業銀行,全行外匯定期存款,732000000
10008,三信商業銀行,全行外匯總存款,1357000000
10008,聯邦商業銀行,全行外匯活期存款,7894000000
10008,聯邦商業銀行,全行外匯定期存款,18275000000
10008,聯邦商業銀行,全行外匯總存款,26169000000
10008,遠東國際商業銀行,全行外匯活期存款,9559000000
10008,遠東國際商業銀行,全行外匯定期存款,28302000000
10008,遠東國際商業銀行,全行外匯總存款,37861000000
10008,元大商業銀行,全行外匯活期存款,19010000000
10008,元大商業銀行,全行外匯定期存款,24810000000
10008,元大商業銀行,全行外匯總存款,43819000000
10008,永豐商業銀行,全行外匯活期存款,89168000000
10008,永豐商業銀行,全行外匯定期存款,58085000000
10008,永豐商業銀行,全行外匯總存款,147254000000
10008,玉山商業銀行,全行外匯活期存款,65524000000
10008,玉山商業銀行,全行外匯定期存款,59796000000
10008,玉山商業銀行,全行外匯總存款,125320000000
10008,萬泰商業銀行,全行外匯活期存款,3550000000
10008,萬泰商業銀行,全行外匯定期存款,1479000000
10008,萬泰商業銀行,全行外匯總存款,5029000000
10008,台新國際商業銀行,全行外匯活期存款,70917000000
10008,台新國際商業銀行,全行外匯定期存款,59543000000
10008,台新國際商業銀行,全行外匯總存款,130459000000
10008,大眾商業銀行,全行外匯活期存款,22998000000
10008,大眾商業銀行,全行外匯定期存款,21825000000
10008,大眾商業銀行,全行外匯總存款,44823000000
10008,日盛國際商業銀行,全行外匯活期存款,7948000000
10008,日盛國際商業銀行,全行外匯定期存款,7407000000
10008,日盛國際商業銀行,全行外匯總存款,15355000000
10008,安泰商業銀行,全行外匯活期存款,8353000000
10008,安泰商業銀行,全行外匯定期存款,14212000000
10008,安泰商業銀行,全行外匯總存款,22564000000
10008,中國信託商業銀行,全行外匯活期存款,154592000000
10008,中國信託商業銀行,全行外匯定期存款,143549000000
10008,中國信託商業銀行,全行外匯總存款,298141000000
10008,臺灣中小企業銀行,全行外匯活期存款,55104000000
10008,臺灣中小企業銀行,全行外匯定期存款,42299000000
10008,臺灣中小企業銀行,全行外匯總存款,97403000000
10008,渣打國際商業銀行,全行外匯活期存款,74012000000
10008,渣打國際商業銀行,全行外匯定期存款,17191000000
10008,渣打國際商業銀行,全行外匯總存款,91203000000
10008,台中商業銀行,全行外匯活期存款,7276000000
10008,台中商業銀行,全行外匯定期存款,6914000000
10008,台中商業銀行,全行外匯總存款,14189000000
10008,京城商業銀行,全行外匯活期存款,2269000000
10008,京城商業銀行,全行外匯定期存款,4559000000
10008,京城商業銀行,全行外匯總存款,6829000000
10008,外國銀行在臺分行,全行外匯活期存款,122713000000
10008,外國銀行在臺分行,全行外匯定期存款,87394000000
10008,外國銀行在臺分行,全行外匯總存款,210107000000
10008,總計,國內外匯活期存款,1400308000000
10008,總計,國內外匯定期存款,1197113000000
10008,總計,國內外匯總存款,2597421000000
10008,總計 ,海外外匯活期存款,759432000000
10008,總計 ,海外外匯定期存款,810641000000
10008,總計 ,海外外匯總存款,1570073000000
10008,臺灣銀行,國內外匯活期存款,72803000000
10008,臺灣銀行,國內外匯定期存款,184764000000
10008,臺灣銀行,國內外匯總存款,257567000000
10008,臺灣銀行,海外外匯活期存款,18974000000
10008,臺灣銀行,海外外匯定期存款,42293000000
10008,臺灣銀行,海外外匯總存款,61267000000
10008,臺灣土地銀行,國內外匯活期存款,20594000000
10008,臺灣土地銀行,國內外匯定期存款,27423000000
10008,臺灣土地銀行,國內外匯總存款,48017000000
10008,臺灣土地銀行,海外外匯活期存款,2597000000
10008,臺灣土地銀行,海外外匯定期存款,23931000000
10008,臺灣土地銀行,海外外匯總存款,26528000000
10008,合作金庫商業銀行,國內外匯活期存款,61491000000
10008,合作金庫商業銀行,國內外匯定期存款,92783000000
10008,合作金庫商業銀行,國內外匯總存款,154275000000
10008,合作金庫商業銀行,海外外匯活期存款,14689000000
10008,合作金庫商業銀行,海外外匯定期存款,24057000000
10008,合作金庫商業銀行,海外外匯總存款,38745000000
10008,第一商業銀行,國內外匯活期存款,87071000000
10008,第一商業銀行,國內外匯定期存款,83565000000
10008,第一商業銀行,國內外匯總存款,170636000000
10008,第一商業銀行,海外外匯活期存款,45880000000
10008,第一商業銀行,海外外匯定期存款,57233000000
10008,第一商業銀行,海外外匯總存款,103113000000
10008,華南商業銀行,國內外匯活期存款,85248000000
10008,華南商業銀行,國內外匯定期存款,73112000000
10008,華南商業銀行,國內外匯總存款,158360000000
10008,華南商業銀行,海外外匯活期存款,41348000000
10008,華南商業銀行,海外外匯定期存款,35099000000
10008,華南商業銀行,海外外匯總存款,76447000000
10008,彰化商業銀行,國內外匯活期存款,55595000000
10008,彰化商業銀行,國內外匯定期存款,50142000000
10008,彰化商業銀行,國內外匯總存款,105738000000
10008,彰化商業銀行,海外外匯活期存款,27200000000
10008,彰化商業銀行,海外外匯定期存款,35869000000
10008,彰化商業銀行,海外外匯總存款,63068000000
10008,上海商業儲蓄銀行,國內外匯活期存款,30198000000
10008,上海商業儲蓄銀行,國內外匯定期存款,37663000000
10008,上海商業儲蓄銀行,國內外匯總存款,67860000000
10008,上海商業儲蓄銀行,海外外匯活期存款,49378000000
10008,上海商業儲蓄銀行,海外外匯定期存款,50780000000
10008,上海商業儲蓄銀行,海外外匯總存款,100159000000
10008,台北富邦銀行,國內外匯活期存款,80532000000
10008,台北富邦銀行,國內外匯定期存款,73512000000
10008,台北富邦銀行,國內外匯總存款,154044000000
10008,台北富邦銀行,海外外匯活期存款,15005000000
10008,台北富邦銀行,海外外匯定期存款,16279000000
10008,台北富邦銀行,海外外匯總存款,31284000000
10008,國泰世華商業銀行,國內外匯活期存款,76824000000
10008,國泰世華商業銀行,國內外匯定期存款,56432000000
10008,國泰世華商業銀行,國內外匯總存款,133256000000
10008,國泰世華商業銀行,海外外匯活期存款,14271000000
10008,國泰世華商業銀行,海外外匯定期存款,31410000000
10008,國泰世華商業銀行,海外外匯總存款,45681000000
10008,中國輸出入銀行,國內外匯活期存款,0
10008,中國輸出入銀行,國內外匯定期存款,0
10008,中國輸出入銀行,國內外匯總存款,0
10008,中國輸出入銀行,海外外匯活期存款,0
10008,中國輸出入銀行,海外外匯定期存款,0
10008,中國輸出入銀行,海外外匯總存款,0
10008,高雄銀行,國內外匯活期存款,2933000000
10008,高雄銀行,國內外匯定期存款,3255000000
10008,高雄銀行,國內外匯總存款,6188000000
10008,高雄銀行,海外外匯活期存款,589000000
10008,高雄銀行,海外外匯定期存款,1442000000
10008,高雄銀行,海外外匯總存款,2031000000
10008,兆豐國際商業銀行,國內外匯活期存款,127640000000
10008,兆豐國際商業銀行,國內外匯定期存款,116142000000
10008,兆豐國際商業銀行,國內外匯總存款,243782000000
10008,兆豐國際商業銀行,海外外匯活期存款,151015000000
10008,兆豐國際商業銀行,海外外匯定期存款,166044000000
10008,兆豐國際商業銀行,海外外匯總存款,317059000000
10008,花旗,國內外匯活期存款,162437000000
10008,花旗,國內外匯定期存款,22315000000
10008,花旗,國內外匯總存款,184753000000
10008,花旗,海外外匯活期存款,80216000000
10008,花旗,海外外匯定期存款,11167000000
10008,花旗,海外外匯總存款,91383000000
10008,中華開發工業銀行,國內外匯活期存款,2285000000
10008,中華開發工業銀行,國內外匯定期存款,10398000000
10008,中華開發工業銀行,國內外匯總存款,12683000000
10008,中華開發工業銀行,海外外匯活期存款,1787000000
10008,中華開發工業銀行,海外外匯定期存款,11532000000
10008,中華開發工業銀行,海外外匯總存款,13319000000
10008,臺灣工業銀行,國內外匯活期存款,1158000000
10008,臺灣工業銀行,國內外匯定期存款,7110000000
10008,臺灣工業銀行,國內外匯總存款,8268000000
10008,臺灣工業銀行,海外外匯活期存款,520000000
10008,臺灣工業銀行,海外外匯定期存款,8198000000
10008,臺灣工業銀行,海外外匯總存款,8718000000
10008,匯豐,國內外匯活期存款,51090000000
10008,匯豐,國內外匯定期存款,13890000000
10008,匯豐,國內外匯總存款,64980000000
10008,匯豐,海外外匯活期存款,25888000000
10008,匯豐,海外外匯定期存款,12261000000
10008,匯豐,海外外匯總存款,38149000000
10008,大台北商業銀行,國內外匯活期存款,144000000
10008,大台北商業銀行,國內外匯定期存款,88000000
10008,大台北商業銀行,國內外匯總存款,232000000
10008,大台北商業銀行,海外外匯活期存款,0
10008,大台北商業銀行,海外外匯定期存款,0
10008,大台北商業銀行,海外外匯總存款,0
10008,華泰商業銀行,國內外匯活期存款,1252000000
10008,華泰商業銀行,國內外匯定期存款,848000000
10008,華泰商業銀行,國內外匯總存款,2100000000
10008,華泰商業銀行,海外外匯活期存款,95000000
10008,華泰商業銀行,海外外匯定期存款,46000000
10008,華泰商業銀行,海外外匯總存款,141000000
10008,臺灣新光商業銀行,國內外匯活期存款,16438000000
10008,臺灣新光商業銀行,國內外匯定期存款,18559000000
10008,臺灣新光商業銀行,國內外匯總存款,34998000000
10008,臺灣新光商業銀行,海外外匯活期存款,5211000000
10008,臺灣新光商業銀行,海外外匯定期存款,5345000000
10008,臺灣新光商業銀行,海外外匯總存款,10555000000
10008,陽信商業銀行,國內外匯活期存款,3435000000
10008,陽信商業銀行,國內外匯定期存款,2870000000
10008,陽信商業銀行,國內外匯總存款,6305000000
10008,陽信商業銀行,海外外匯活期存款,481000000
10008,陽信商業銀行,海外外匯定期存款,162000000
10008,陽信商業銀行,海外外匯總存款,643000000
10008,板信商業銀行,國內外匯活期存款,3473000000
10008,板信商業銀行,國內外匯定期存款,2893000000
10008,板信商業銀行,國內外匯總存款,6367000000
10008,板信商業銀行,海外外匯活期存款,443000000
10008,板信商業銀行,海外外匯定期存款,471000000
10008,板信商業銀行,海外外匯總存款,913000000
10008,三信商業銀行,國內外匯活期存款,610000000
10008,三信商業銀行,國內外匯定期存款,711000000
10008,三信商業銀行,國內外匯總存款,1320000000
10008,三信商業銀行,海外外匯活期存款,15000000
10008,三信商業銀行,海外外匯定期存款,21000000
10008,三信商業銀行,海外外匯總存款,37000000
10008,聯邦商業銀行,國內外匯活期存款,6462000000
10008,聯邦商業銀行,國內外匯定期存款,14208000000
10008,聯邦商業銀行,國內外匯總存款,20671000000
10008,聯邦商業銀行,海外外匯活期存款,1432000000
10008,聯邦商業銀行,海外外匯定期存款,4067000000
10008,聯邦商業銀行,海外外匯總存款,5498000000
10008,遠東國際商業銀行,國內外匯活期存款,7844000000
10008,遠東國際商業銀行,國內外匯定期存款,8070000000
10008,遠東國際商業銀行,國內外匯總存款,15914000000
10008,遠東國際商業銀行,海外外匯活期存款,1715000000
10008,遠東國際商業銀行,海外外匯定期存款,20232000000
10008,遠東國際商業銀行,海外外匯總存款,21947000000
10008,元大商業銀行,國內外匯活期存款,16734000000
10008,元大商業銀行,國內外匯定期存款,16813000000
10008,元大商業銀行,國內外匯總存款,33547000000
10008,元大商業銀行,海外外匯活期存款,2276000000
10008,元大商業銀行,海外外匯定期存款,7997000000
10008,元大商業銀行,海外外匯總存款,10272000000
10008,永豐商業銀行,國內外匯活期存款,45898000000
10008,永豐商業銀行,國內外匯定期存款,26224000000
10008,永豐商業銀行,國內外匯總存款,72122000000
10008,永豐商業銀行,海外外匯活期存款,43270000000
10008,永豐商業銀行,海外外匯定期存款,31861000000
10008,永豐商業銀行,海外外匯總存款,75132000000
10008,玉山商業銀行,國內外匯活期存款,34232000000
10008,玉山商業銀行,國內外匯定期存款,36932000000
10008,玉山商業銀行,國內外匯總存款,71164000000
10008,玉山商業銀行,海外外匯活期存款,31292000000
10008,玉山商業銀行,海外外匯定期存款,22864000000
10008,玉山商業銀行,海外外匯總存款,54156000000
10008,萬泰商業銀行,國內外匯活期存款,3426000000
10008,萬泰商業銀行,國內外匯定期存款,1479000000
10008,萬泰商業銀行,國內外匯總存款,4905000000
10008,萬泰商業銀行,海外外匯活期存款,124000000
10008,萬泰商業銀行,海外外匯定期存款,0
10008,萬泰商業銀行,海外外匯總存款,124000000
10008,台新國際商業銀行,國內外匯活期存款,48640000000
10008,台新國際商業銀行,國內外匯定期存款,32283000000
10008,台新國際商業銀行,國內外匯總存款,80923000000
10008,台新國際商業銀行,海外外匯活期存款,22277000000
10008,台新國際商業銀行,海外外匯定期存款,27260000000
10008,台新國際商業銀行,海外外匯總存款,49536000000
10008,大眾商業銀行,國內外匯活期存款,16718000000
10008,大眾商業銀行,國內外匯定期存款,15885000000
10008,大眾商業銀行,國內外匯總存款,32602000000
10008,大眾商業銀行,海外外匯活期存款,6280000000
10008,大眾商業銀行,海外外匯定期存款,5940000000
10008,大眾商業銀行,海外外匯總存款,12221000000
10008,日盛國際商業銀行,國內外匯活期存款,7265000000
10008,日盛國際商業銀行,國內外匯定期存款,5444000000
10008,日盛國際商業銀行,國內外匯總存款,12709000000
10008,日盛國際商業銀行,海外外匯活期存款,683000000
10008,日盛國際商業銀行,海外外匯定期存款,1963000000
10008,日盛國際商業銀行,海外外匯總存款,2646000000
10008,安泰商業銀行,國內外匯活期存款,7277000000
10008,安泰商業銀行,國內外匯定期存款,12059000000
10008,安泰商業銀行,國內外匯總存款,19336000000
10008,安泰商業銀行,海外外匯活期存款,1076000000
10008,安泰商業銀行,海外外匯定期存款,2153000000
10008,安泰商業銀行,海外外匯總存款,3228000000
10008,中國信託商業銀行,國內外匯活期存款,78192000000
10008,中國信託商業銀行,國內外匯定期存款,48581000000
10008,中國信託商業銀行,國內外匯總存款,126773000000
10008,中國信託商業銀行,海外外匯活期存款,76400000000
10008,中國信託商業銀行,海外外匯定期存款,94968000000
10008,中國信託商業銀行,海外外匯總存款,171368000000
10008,臺灣中小企業銀行,國內外匯活期存款,38710000000
10008,臺灣中小企業銀行,國內外匯定期存款,29789000000
10008,臺灣中小企業銀行,國內外匯總存款,68499000000
10008,臺灣中小企業銀行,海外外匯活期存款,16394000000
10008,臺灣中小企業銀行,海外外匯定期存款,12510000000
10008,臺灣中小企業銀行,海外外匯總存款,28904000000
10008,渣打國際商業銀行,國內外匯活期存款,61198000000
10008,渣打國際商業銀行,國內外匯定期存款,13835000000
10008,渣打國際商業銀行,國內外匯總存款,75033000000
10008,渣打國際商業銀行,海外外匯活期存款,12814000000
10008,渣打國際商業銀行,海外外匯定期存款,3356000000
10008,渣打國際商業銀行,海外外匯總存款,16170000000
10008,台中商業銀行,國內外匯活期存款,6067000000
10008,台中商業銀行,國內外匯定期存款,5274000000
10008,台中商業銀行,國內外匯總存款,11341000000
10008,台中商業銀行,海外外匯活期存款,1209000000
10008,台中商業銀行,海外外匯定期存款,1640000000
10008,台中商業銀行,海外外匯總存款,2848000000
10008,京城商業銀行,國內外匯活期存款,2123000000
10008,京城商業銀行,國內外匯定期存款,3312000000
10008,京城商業銀行,國內外匯總存款,5435000000
10008,京城商業銀行,海外外匯活期存款,146000000
10008,京城商業銀行,海外外匯定期存款,1247000000
10008,京城商業銀行,海外外匯總存款,1394000000
10008,外國銀行在臺分行,國內外匯活期存款,76271000000
10008,外國銀行在臺分行,國內外匯定期存款,48448000000
10008,外國銀行在臺分行,國內外匯總存款,124719000000
10008,外國銀行在臺分行,海外外匯活期存款,46442000000
10008,外國銀行在臺分行,海外外匯定期存款,38946000000
10008,外國銀行在臺分行,海外外匯總存款,85388000000
