年月,銀行,項目,數值
9602,華南商業銀行,海外外匯活期存款,24884000000
9602,華南商業銀行,海外外匯定期存款,38901000000
9602,華南商業銀行,海外外匯總存款,63785000000
9602,彰化商業銀行,國內外匯活期存款,31322000000
9602,彰化商業銀行,國內外匯定期存款,53948000000
9602,彰化商業銀行,國內外匯總存款,85270000000
9602,彰化商業銀行,海外外匯活期存款,18161000000
9602,彰化商業銀行,海外外匯定期存款,24057000000
9602,彰化商業銀行,海外外匯總存款,42218000000
9602,華僑商業銀行,國內外匯活期存款,11900000000
9602,華僑商業銀行,國內外匯定期存款,14710000000
9602,華僑商業銀行,國內外匯總存款,26610000000
9602,華僑商業銀行,海外外匯活期存款,10676000000
9602,華僑商業銀行,海外外匯定期存款,14818000000
9602,華僑商業銀行,海外外匯總存款,25495000000
9602,上海商業儲蓄銀行,國內外匯活期存款,18009000000
9602,上海商業儲蓄銀行,國內外匯定期存款,26140000000
9602,上海商業儲蓄銀行,國內外匯總存款,44148000000
9602,上海商業儲蓄銀行,海外外匯活期存款,28964000000
9602,上海商業儲蓄銀行,海外外匯定期存款,39198000000
9602,上海商業儲蓄銀行,海外外匯總存款,68163000000
9602,台北富邦銀行,國內外匯活期存款,22374000000
9602,台北富邦銀行,國內外匯定期存款,51008000000
9602,台北富邦銀行,國內外匯總存款,73381000000
9602,台北富邦銀行,海外外匯活期存款,3442000000
9602,台北富邦銀行,海外外匯定期存款,6646000000
9602,台北富邦銀行,海外外匯總存款,10089000000
9602,國泰世華商業銀行,國內外匯活期存款,13521000000
9602,國泰世華商業銀行,國內外匯定期存款,30337000000
9602,國泰世華商業銀行,國內外匯總存款,43858000000
9602,國泰世華商業銀行,海外外匯活期存款,6647000000
9602,國泰世華商業銀行,海外外匯定期存款,18452000000
9602,國泰世華商業銀行,海外外匯總存款,25099000000
9602,中國輸出入銀行,國內外匯活期存款,0
9602,中國輸出入銀行,國內外匯定期存款,0
9602,中國輸出入銀行,國內外匯總存款,0
